Ano,Código Órgão Superior,Nome Órgão Superior,Código Função,Nome Função,Código Subfunção,Nome Subfunção,Valor Empenhado (R$),Valor Liquidado (R$),Valor Pago (R$)
2020,25000,Ministério da Fazenda,04,Administração,092,Representação judicial e extrajudicial,10803147.03,37601025.76,37584521.36
2020,44000,Ministério do Meio Ambiente e Mudança do Cl,18,Gestão ambiental,541,Preservação e conservação ambiental,29994715.93,34814420.4,35853044.03
2020,39000,Ministério dos Transportes,26,Transporte,783,Transporte ferroviário,14748731.29,34592170.05,35478650.56
2020,41000,Ministério das Comunicações,24,Comunicações,722,Telecomunicações,17503283.15,28793167.81,35346596.62
2020,55000,Ministério do Desenvolvimento e Assistência,28,Encargos especiais,846,Outros encargos especiais,108734677.69999999,34895254.36,34895254.36
2020,39000,Ministério dos Transportes,26,Transporte,121,Planejamento e orçamento,51741020.03,33397838.77,33770064.1
2020,35000,Ministério das Relações Exteriores,07,Relações exteriores,331,Proteção e benefícios ao trabalhador,26672119.900000002,32896879.040000007,32889233.880000003
2020,63000,Advocacia-Geral da União,03,Essencial à justiça,846,Outros encargos especiais,-22127841.0,32853721.7,32853721.7
2020,20000,Presidência da República,04,Administração,131,Comunicação social,2994310.8600000017,30902600.94,32402157.35
2020,55000,Ministério do Desenvolvimento e Assistência,04,Administração,122,Administração geral,12244046.42,30581902.03,32116126.599999998
2020,20000,Presidência da República,04,Administração,122,Administração geral,15444829.87,29527627.94,31927227.51
2020,20000,Presidência da República,06,Segurança pública,122,Administração geral,-3472184.2,27000566.27,30924817.419999998
2020,24000,"Ministério da Ciência, Tecnologia e Inovaç",12,Educação,368,Educação básica,0.0,30738347.13,30738347.13
2020,52000,Ministério da Defesa,05,Defesa nacional,572,Desenvolvimento tecnológico e engenharia,31480837.250000004,10349582.31,29570460.29
2020,24000,"Ministério da Ciência, Tecnologia e Inovaç",19,Ciência e Tecnologia,126,Tecnologia da informação,10018010.39,29478917.36,29478917.36
2020,84000,Ministério dos Povos Indígenas,14,Direitos da cidadania,122,Administração geral,8714661.73,25310276.38,29194005.369999997
2020,36000,Ministério da Saúde,10,Saúde,422,"Direitos individuais, coletivos e difusos",32285283.630000003,28062723.34,28753325.24
2020,56000,Ministério das Cidades,06,Segurança pública,182,Defesa civil,19527733.67,27145531.049999997,27145531.049999997
2020,25201,Banco Central do Brasil - Orçamento Fiscal e,04,Administração,125,Normatização e fiscalização,10886862.83,26997099.41,26995532.71
2020,35000,Ministério das Relações Exteriores,07,Relações exteriores,301,Atenção básica,15228582.530000001,26864291.069999997,26864544.259999998
2020,28000,"Ministério do Desenvolvimento, Indústria, C",09,Previdência social,272,Previdência do regime estatutário,5278252.09,18847164.05,26489058.4
2020,37000,Controladoria-Geral da União,09,Previdência social,272,Previdência do regime estatutário,-25917.56,18645669.97,25631512.009999998
2020,33000,Ministério da Previdência Social,09,Previdência social,126,Tecnologia da informação,51299563.6,0.0,25343864.159999996
2020,35000,Ministério das Relações Exteriores,07,Relações exteriores,212,Cooperação internacional,26389242.24,25290688.549999997,25305463.68
2020,28000,"Ministério do Desenvolvimento, Indústria, C",22,Indústria,125,Normatização e fiscalização,3139220.7199999997,23906790.26,24510948.9
2020,42000,Ministério da Cultura,13,Cultura,392,Difusão cultural,162518261.26999998,24699762.79,24214924.24
2020,52000,Ministério da Defesa,26,Transporte,782,Transporte rodoviário,31906227.18,22382520.29,24162954.66
2020,24000,"Ministério da Ciência, Tecnologia e Inovaç",19,Ciência e Tecnologia,662,Produção industrial,36334096.66,28424725.05,24022040.24
2020,20000,Presidência da República,09,Previdência social,272,Previdência do regime estatutário,-1744180.730000001,19886655.21,23773371.419999998
2020,49000,Ministério do Desenvolvimento Agrário e Agr,20,Agricultura,605,Abastecimento,2764395.9699999993,21721496.57,23328316.21
2020,46000,Ministério da Gestão e da Inovação em Ser,04,Administração,331,Proteção e benefícios ao trabalhador,-12602179.239999998,23132381.07,23192578.380000003
2020,24000,"Ministério da Ciência, Tecnologia e Inovaç",10,Saúde,571,Desenvolvimento científico,10518627.15,16427461.75,22455796.49
2020,52000,Ministério da Defesa,05,Defesa nacional,846,Outros encargos especiais,12786564.6,22386040.49,22434071.53
2020,36000,Ministério da Saúde,10,Saúde,306,Alimentação e nutrição,16962517.94,21962517.94,21962517.94
2020,32000,Ministério de Minas e Energia,09,Previdência social,272,Previdência do regime estatutário,561819.15,14594803.66,21896574.05
2020,51000,Ministério do Esporte,27,Desporto e lazer,811,Desporto de rendimento,12678721.9,22025404.45,21833556.31
2020,42000,Ministério da Cultura,09,Previdência social,272,Previdência do regime estatutário,191054.39999999997,14763136.82,21612477.16
2020,44000,Ministério do Meio Ambiente e Mudança do Cl,18,Gestão ambiental,125,Normatização e fiscalização,3059413.25,13046855.09,21493324.35
2020,26000,Ministério da Educação,12,Educação,365,Educação infantil,46495892.13,21460680.75,21460680.75
2020,22000,Ministério da Agricultura e Pecuária,20,Agricultura,331,Proteção e benefícios ao trabalhador,3475696.33,13365289.43,21428981.06
2020,52000,Ministério da Defesa,05,Defesa nacional,482,Habitação urbana,35395178.7,23669107.72,21172882.069999997
2020,39000,Ministério dos Transportes,09,Previdência social,272,Previdência do regime estatutário,15765903.33,18752010.259999998,20787168.45
2020,36000,Ministério da Saúde,10,Saúde,131,Comunicação social,2847634.09,19235729.619999997,20599350.759999998
2020,44000,Ministério do Meio Ambiente e Mudança do Cl,18,Gestão ambiental,846,Outros encargos especiais,1576045.81,19438768.76,20446708.470000003
2020,46000,Ministério da Gestão e da Inovação em Ser,11,Trabalho,122,Administração geral,15406913.879999999,19835681.29,19727409.22
2020,49000,Ministério do Desenvolvimento Agrário e Agr,21,Organização agrária,846,Outros encargos especiais,59656.0,6523289.2,19615312.92
2020,54000,Ministério do Turismo,23,Comércio e serviços,122,Administração geral,4594823.28,21250958.07,19470323.14
2020,36000,Ministério da Saúde,10,Saúde,511,Saneamento básico rural,224186408.48,19021872.16,19465667.16
2020,52000,Ministério da Defesa,05,Defesa nacional,571,Desenvolvimento científico,19014589.73,19229041.49,19309083.16
2020,20000,Presidência da República,28,Encargos especiais,846,Outros encargos especiais,18770100.509999998,18791506.65,18804600.299999997
2020,47000,Ministério do Planejamento e Orçamento,04,Administração,121,Planejamento e orçamento,24085477.88,18469654.57,18498254.33
2020,52000,Ministério da Defesa,05,Defesa nacional,128,Formação de recursos humanos,4661095.47,15798960.06,17729891.080000002
2020,22000,Ministério da Agricultura e Pecuária,20,Agricultura,572,Desenvolvimento tecnológico e engenharia,109934902.58,16438843.79,17297397.0
2020,25201,Banco Central do Brasil - Orçamento Fiscal e,04,Administração,301,Atenção básica,13139482.040000001,17204075.92,17204075.92
2020,84000,Ministério dos Povos Indígenas,09,Previdência social,272,Previdência do regime estatutário,-3349632.9299999992,14595033.43,17169622.67
2020,22000,Ministério da Agricultura e Pecuária,20,Agricultura,846,Outros encargos especiais,13801306.75,16979175.48,16979175.48
2020,41000,Ministério das Comunicações,19,Ciência e Tecnologia,122,Administração geral,437132.01,18368592.0,16721729.229999999
2020,25000,Ministério da Fazenda,09,Previdência social,272,Previdência do regime estatutário,2407607.16,11927223.81,16524942.2
2020,32000,Ministério de Minas e Energia,25,Energia,125,Normatização e fiscalização,11459621.600000001,14465349.18,16264819.299999999
2020,22000,Ministério da Agricultura e Pecuária,20,Agricultura,125,Normatização e fiscalização,18837606.24,16845171.51,16019093.64
2020,24000,"Ministério da Ciência, Tecnologia e Inovaç",19,Ciência e Tecnologia,846,Outros encargos especiais,-473414.73,15950914.850000001,15964076.559999999
2020,30000,Ministério da Justiça e Segurança Pública,06,Segurança pública,331,Proteção e benefícios ao trabalhador,6762986.78,19183048.13,15286132.28
2020,39000,Ministério dos Transportes,26,Transporte,784,Transporte hidroviário,57789411.51,15177401.18,15177401.18
2020,44000,Ministério do Meio Ambiente e Mudança do Cl,18,Gestão ambiental,542,Controle ambiental,21865743.33,10225665.520000001,15061244.88
2020,22000,Ministério da Agricultura e Pecuária,20,Agricultura,301,Atenção básica,1295796.08,8605436.99,14565196.559999999
2020,33000,Ministério da Previdência Social,09,Previdência social,331,Proteção e benefícios ao trabalhador,-11860280.479999999,13487160.030000001,13995674.34
2020,81000,Ministério dos Direitos Humanos e Cidadania,14,Direitos da cidadania,122,Administração geral,6339659.03,13806400.52,13989005.77
2020,52000,Ministério da Defesa,05,Defesa nacional,363,Ensino profissional,2745286.94,10078445.69,13964341.31
2020,55000,Ministério do Desenvolvimento e Assistência,14,Direitos da cidadania,422,"Direitos individuais, coletivos e difusos",19324492.0,13413982.860000001,13830477.75
2020,39000,Ministério dos Transportes,26,Transporte,126,Tecnologia da informação,6895970.039999999,13782829.52,13779035.82
